IRONSTL production by tech,,,,,,,,,,,,,,,,,,,,
"0_1p5C,date=2021-20-10T07:49:36-07:79",China,iron and steel,EAF with scrap,iron and steel,EAF with scrap,17.5,39.7,63,45.1,70.6699,112.8588,195.41746,266.45786,324.7361,360.4723,356.1855,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:80",Colombia,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0.255,0.335,0.34,0.241,0.2638077,0.01954647,0.005781791,8.98E-04,5.54E-05,3.40E-06,9.40E-08,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:81",Colombia,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.0134401,0.0320527,0.05594022,0.0726442,0.06457683,0.02758533,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:82",Colombia,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.114545,0.2532012,0.4102895,0.4590982,0.3355543,0.08827637,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:83",Colombia,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.00644801,0.8034926,1.10108592,1.00421124,0.6352499,0.2726946,0.056278449,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:84",Colombia,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.264,0.511,0.659,0.737,0.867087,0.717531,0.526176,0.3814481,0.3251889,0.1772318,0.004753949,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:85",Colombia,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.0649348,0.16317,0.3655961,0.6940999,1.0290059,1.0558552,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:86",Colombia,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.101794,0.3565016,0.7853036,1.31879,2.1138033,3.2553205,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:87",Colombia,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.0833,0.161,0.208,0.233,0.2735175,0.3357072,0.4192855,0.6269801,0.9740761,1.3708913,1.722462,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:88",EU-12,iron and steel,BLASTFUR,iron and steel,BLASTFUR,21.2339,22.6761,17.235,18.22,16.76417,13.97051,8.785791,3.967647,1.9547986,0.50793048,0.002236163,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:89",EU-12,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.540739,2.691716,4.885919,5.0969265,3.368784,1.629257,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:90",EU-12,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.0496515,0.1848912,0.2809997,0.2486718,0.13457155,0.004276165,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:91",EU-12,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.00158788,0.31763417,0.64589084,0.62521554,0.3982403,0.163483283,0.005288728,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:92",EU-12,iron and steel,EAF with DRI,iron and steel,EAF with DRI,2.7214,3.42988,3.4864,3.0739,2.798276,3.292774,2.855977,2.1364199,1.600558,0.858213,0.03419641,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:93",EU-12,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.304079,0.725741,1.096573,1.4002438,1.9520135,2.0390153,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:94",EU-12,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.557778,1.766277,2.490781,2.6358821,3.033364,3.450506,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:95",EU-12,iron and steel,EAF with scrap,iron and steel,EAF with scrap,3.46402,4.37412,4.4375,3.9061,3.66923,6.205551,8.66378,9.5854449,9.726863,10.801461,11.618468,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:96",EU-15,iron and steel,BLASTFUR,iron and steel,BLASTFUR,89.754,97.87,84.52,82.69,85.4571,64.10031,37.35133,15.0884,6.953745,2.2494418,0.019468609,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:97",EU-15,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.923917,6.430154,14.530111,16.321131,11.172117,5.655617,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:98",EU-15,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.0342981,0.1777183,0.3201838,0.28716433,0.1367766,0.001884384,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:99",EU-15,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.00736247,0.2779729,0.70640036,0.75616298,0.5041609,0.212683275,0.002970954,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:100",EU-15,iron and steel,EAF with DRI,iron and steel,EAF with DRI,26.0359,29.5961,27.7591,25.6622,27.41358,25.22796,20.71454,15.4482,11.87037,7.41681,0.75004,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:101",EU-15,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,1.1939,3.661922,6.166866,7.86947,10.539595,13.173691,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:102",EU-15,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,1.22907,5.988449,10.174877,11.151056,11.895542,13.665854,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:103",EU-15,iron and steel,EAF with scrap,iron and steel,EAF with scrap,33.1483,37.682,35.3595,32.672,35.03684,39.79048,50.786,57.14497,57.89123,60.146,62.26118,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:104",Europe_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,28.1,34.8005,31.93,21.7,21.49692,15.78757,8.93251,3.315747,1.4903437,0.4765159,0.004665403,0,0,0,Mt
