"","region","scenario","sector","subsector","input","technology","Units","year","value"
"240","China","Ref","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2030,0.06656984
"241","China","1p5 delay","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2030,0.8666204
"242","China","1p5","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2030,1.3737081
"243","China","Ref","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2030,0.360242
"244","China","1p5 delay","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2030,0.08267874
"245","China","1p5","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2030,0.1310569
"246","China","Ref","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2030,0.03436849
"247","China","1p5 delay","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2030,0.0687698
"248","China","1p5","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2030,0.3524834
"249","China","Ref","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2030,0.0010478941
"250","China","1p5 delay","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2030,0.1908115
"251","China","1p5","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2030,0.978014
"252","China","Ref","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2030,0.0029075239
"253","China","1p5 delay","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2035,0.34626759
"254","China","1p5","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2035,0.72027594
"255","China","Ref","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2035,0.23921608
"256","China","1p5 delay","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2035,0.0113139311
"257","China","1p5","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2035,0.0235342621
"258","China","Ref","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2035,0.0078161362
"259","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2035,0.000206382891
"260","China","1p5","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2035,0.0004293003
"261","China","Ref","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2035,0.000142578222
"262","China","1p5 delay","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2035,0.000206382891
"263","China","1p5","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2035,0.0004293003
"264","China","Ref","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2035,0.000142578222
"265","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2035,8.876576
"266","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2035,4.351346
"267","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2035,19.16906
"268","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2035,0.9122146
"269","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2035,0.4471717
"270","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2035,1.969933
